教員名,ゼミナール紹介文,"主ゼミナール
(選考基準）","主ゼミ受入
予定人数
（4～8名）","副ゼミナール
（選考基準・人数など）",その他
渡部　敏明,私の学部ゼミナールでは、主として、ファイナンスやマクロ経済学の計量分析を扱います。このテーマについて学ぶためは、統計、数学、プログラミングに加えて、ファイナンスやマクロ経済学の知識が必要になります。そのため、私の学部ゼミナールを志望する方は、学部1・2年次に、必修科目以外に、「社会科学入門（金融）」「社会科学入門（経済学）」「ファイナンスとDS」「マクロ経済学とDS」を履修することをお薦めします。分析手法として、頻度論統計学に加え、ベイズ統計学を使いますので、「ベイズ統計学Ⅰ」も履修しておくとよいと思います。,選考にあたっては、研究上の興味と意欲を重視します。,8名まで,主ゼミと副ゼミ合わせて8名まで受け入れます。そこで、主ゼミが８名に達した場合は、副ゼミは受け入れなしとします。副ゼミの内容は主ゼミと同じです。,面談を希望する方はメールで個別にご連絡ください。
七丈　直弘,科学の急速な発展によって、基礎から応用に亘る科学技術の戦略的重要性が増してきています。私のゼミでは、科学と社会の未来の姿を定量的手法・定性的手法を組み合わせて洞察していきます。ゼミに参加する上では、破壊的イノベーションや様々な先端技術に関する関心、数理的手法を自ら行うために必要な最低限の数理の知識、政策・制度に関する関心を求めます。具体的なテーマは参加者の関心にしたがって決めたいと思いますが、分析対象となる大量データ（世界中の論文・特許のバルクデータ、ニュースデータ）があり、これらを効果的に使用するため、大規模言語モデルやグラフニューラルネットワークなどを積極的に使用します。また、本ゼミナールの担当教員は、スタートアップ育成にも関与しており、自ら起業を志望する学生の参加を歓迎します。,参加の目的が明確であること。,８名まで,主ゼミの定員に空きがある場合に受け入れます。行う内容は主ゼミと変わりません。,面談を希望する場合にはメールで連絡すること。
清水　千弘,私の学部ゼミナールでは、二つのテーマを設定します。①経済学の枠組みを用いて社会課題を設定したうえで、官民のビッグデータを用いた予測問題を学習し政策提案をしていく実践、➁スポーツデータを用いた競技力強化とチーム戦略設定、です。いずれも、①研究主題の発見、②研究計画の策定、③データの収集・調査、④データ分析と解釈、そして⑤プレゼンテーションといった研究方法(Research Methodology)といった「知的生産の技術」の習得がベースとなります。学部1・2年次で、「統計」、「回帰分析I・II」、「数理統計学」といった統計分析の基礎知識と、「プログラミング基礎」、「プログラミングI・II」といった実際にデータを分析する技能を修得しておくことが望ましいです。,選考は、成長意欲と社会課題・研究課題、つまり社会に対する関心の強さを重視します。,8名まで,副ゼミは主ゼミと同じ内容になります。個人の学術的関心を重視しますが、①②の課題から大きく離れることはできません。主ゼミの合格者数によっては副ゼミは受け入れなしとする可能性があります。,面談を希望する方はメールかslackで個別にご連絡ください。
檜山　敦,私の学部ゼミナールでは、主として社会課題を設定し、その達成に向けた研究課題の設定から、システムの構築と評価を行う研究を行います。特に予備知識は求めませんが、SDSでの学修の他に、人間というシステムへの関心と、データ計測や人間へのフィードバックを行うためのハードウェアや電子工作、バーチャルリアリティやロボティクスへの関心があればできることが広がります。課題は学生の興味関心をベースに議論をしていきながら設定します。,選考にあたっては、研究上の興味・関心のマッチング、フィールドに出て活動できる意欲と体力を重視する予定です。,約4名,個別に問い合わせること,
寺田　麻佑,私の学部ゼミナールでは、2026年度は、ドイツ連邦共和国における戦後の憲法裁判所（Bundesverfassungsgericht）の判決とその社会的・法的影響を、時代ごとの文脈とともに再検討し、憲法裁判の構造と意義を理論的に考察します。とりわけ、近代国家の司法制度が「戦後社会」として構築された過程と、1990年代以降に顕著となったヨーロッパ統合、グローバル化、さらには近年の「データ駆動型社会（datengetriebene Gesellschaft）」への転換との関係を分析対象とします。1年目は、基本上記のテーマを扱う予定です。具体的には、憲法裁判所に関する著書・判例集を輪読する形をとります。参加者は、毎回、オンラインでは入手できない文献を図書館等で収集し、発表する必要があります。,選考にあたっては、研究上の興味・関心のマッチング、フィールドに出て活動できる意欲と体力を重視する予定です。また、学術的貢献意欲を重視する予定です。,8名まで,カッセル大学（ドイツ）の法学の教授、九州大学の情報法ゼミとの共同ゼミなども行う可能性があります。,面談を希望する方はメールで個別にご連絡ください。メールを見落とす場合があるので、その場合は再度お送りください。
鈴木　真介,私の学部ゼミナールでは、脳科学と機械学習・人工知能、経済学の学際的融合研究を行います（例：神経経済学、計算論的精神医学など）。一橋大学に新たに導入されたMRI装置を使った脳機能計測実験とそのデータ解析なども行う予定です。特に予備知識は必要ありませんが、学部1・2年次で「AI入門」や「実践的機械学習II」などの授業を履修しておくとよいかと思います（必須ではありません）。,選考にあたっては、研究上の興味・関心のマッチングを重視する予定です。,約4名,副ゼミは主ゼミとほぼ同じ内容になる予定ですが、個々の学生の興味・関心に応じて調整する可能性はあります。主ゼミの合格者数によっては副ゼミは受け入れなしとする可能性があります。,面談を希望する方はメールかslackで個別にご連絡ください。
今井　晋,私の学部ゼミナールでは、政策評価というテーマを主に扱います。しかし、具体的なテーマに関しましては、参加する学生の皆様のご意見を重視します。このテーマについて学んでいくうえでは、ミクロ経済学、統計学のような知識が重要です。そのため、私の学部ゼミナールに興味のある方は、学部1・2年次で、ミクロ経済学、統計学の基礎に関係する授業を履修しておくとよいかと思います。,選考にあたっては、研究上の興味・関心等を考慮する予定です。,約4名,副ゼミの内容は大体ゼミの内容と同様であることをとりあえず予定しています。ゼミと同様、参加される学生の方々のご意見を重視いたします。,面談を希望する方はメールで個別にご連絡ください。
小町　守,"私の学部ゼミナールでは、計算言語学・自然言語処理に関する研究を行います。直近では言語生成の評価や言語資源の構築に関するプロジェクトを推進しており、社会科学的な課題も見据えた研究に取り組んでいます。言語に関して興味のある人（英語や日本語以外の言語にも知識があったり、外国語科目として履修するなど関心が高い人）を歓迎します。留学生や社会人経験者等、研究室に多様なバックグラウンドや属性を持った人がいるようにしたいと思っています。3-4年次に留学したいという人もご相談ください（研究室には留学生が多く在籍しますし、日本人の学生は逆に留学することを奨励しています。研究室の進捗報告は英語で行うグループもあります）。また、ゼミ配属に当たって必須でありませんが、3-4年次の研究で必要となる知識なので、「情報・AI科目」「プログラミング科目」については広く履修しておくことをお勧めします。

https://www.scl.sds.hit-u.ac.jp/prospective に学生募集用の情報を書いてあります。",選考にあたっては、研究上の興味・関心のマッチングを重視する予定です。,3-4名程度,"副ゼミは主ゼミと同じ内容です。他学部の学生を優先して受け入れます。
SDS で副ゼミ希望の方は主ゼミの指導教員の許可がある（うちのゼミでそれなりに負荷がかかることが許容されている）場合に限り、受け入れます。事前にご連絡ください。","面談を希望する方はメールか Slack で個別にご連絡ください。研究室の学生との相談会も調整します（相談会の際は小町は退室します）。
欅研と合同で、毎週水曜日の10時半〜にオンラインの合同ゼミ（1月末まで）を行っているので、見学希望の方は小町または欅先生にご連絡ください。
合同ゼミ予定 小町研・欅研合同ゼミ"
福田　玄明,私の学部ゼミナールでは、認知科学を基にした考え方を中心に人間の脳内、もしくは心理的情報処理についての研究を行います。心理実験、数理モデリング、脳機能計測などを組み合わせて行う予定ですが、具体的なテーマに関しては、それぞれの興味と得意分野を聞きながら決めていく予定です。特別な予備知識は求めませんが、人間自体に興味があることは必須条件です。,選考にあたっては、研究上の興味・関心のマッチングを重視する予定です。,8名まで,興味・関心が、ゼミの内容から大きく外れないことが必要です。人数による制限は設けません。,面談を希望する方はメールでご連絡ください。
植松　良公,私の学部ゼミナールでは、統計学に基づくデータ分析の方法論とその実データへの応用を主に扱います。応用対象の分野はこちらで定めず皆さんに委ね、自由なデータ分析をしてもらいます。ゼミではその方法論や理論に重きを置き、その思考の根源に統計学を求めます。このテーマについて学ぶためには、基礎的な数学（微積分・線形代数）やプログラミングの知識が必要です。私の学部ゼミナールに興味のある方は、学部1・2年次で、各種数学の授業のほか、数理統計学や回帰分析、機械学習関連科目を履修しておくとよいかと思います。 特定の分野における実証分析よりもデータ分析の方法論や統計理論に興味のある方、数学が好きな方、 大学院進学希望者はもちろん、統計学を一から学び直したい方も歓迎します。大学院以降の具体的な研究テーマについては、仮説ありきの「検証的データ分析」のみならず、ビッグデータに潜む新たな知見を得るための「探索的データ分析」の方法論の開発を中心に据えています。詳しくはSDSウェブサイトの教員紹介ページをご覧いただくか、私に直接お尋ねください。,選考にあたっては、研究上の興味・関心と学習意欲を重視する予定です。,8名まで,副ゼミ生を含め、合計で8名まで採用します。データ分析を必要とする、様々なバックグラウンドをお持ちの方々の参加を期待しています。興味のある方はご連絡ください。,面談を希望する方はメールかslackで個別にご連絡ください。
加藤　諒,私の学部ゼミナールでは、ベイズ統計学や、それを応用したマーケティングサイエンスというテーマを主に扱います。また実証会計学についても取り扱いが可能です。これらについて学ぶにあたり、統計学、微分積分や線形代数といった数学、ＲやPythonに関するプログラミングの知識が重要です。そのため、本ゼミナールに興味のある方は、「線形代数I・II」「微分積分I・II」「統計」「プログラミング基礎」「回帰分析I・II」「数理統計学」「ベイズ統計学I」、「プログラミングI・II」などの授業を履修しておくことが望ましいです。また、「マーケティングとDS」を履修しておくと、マーケティングへの関心が強まると思います。,選考では、GPAも参照しますが、実際の企業が扱うマーケティングデータの分析へのモチベーションも重視する予定です。,8名まで,副ゼミは主ゼミと同じ内容です。主ゼミの合格者数によっては副ゼミは受け入れなしとする可能性があります。,面談は任意ですが、希望する方はメールかslackで個別にご連絡ください。
欅　惇志,"私の学部ゼミナールでは，情報アクセス（情報検索，対話システム，情報推薦）や自然言語処理技術に関する研究活動を行います（対外発表を目指して研究に取り組んでいただきます）．これらの技術や，これら技術を用いた社会科学課題（経済学×自然言語処理，法学×情報検索など）の解決に興味のある方を歓迎します．研究テーマによって必要となる素養が異なりますが，興味のある「プログラミング科目」や「情報・AI科目」を受講しておくことを推奨します．
また，現在取り組んでいる具体的な研究テーマや配属に関する情報は研究室サイト (https://keyakkie.github.io/keyaki-lab/) を参照ください．",選考にあたっては，興味のある研究分野・学びたい技術のマッチング，積極的に研究活動に取り組む意思があるか，関連科目（「プログラミング科目」や「情報・AI科目」など）の履修状況を考慮します．選考に影響はありませんが，大学院進学も検討して頂きたいと考えています．,3-5 名程度,小町研との合同勉強会に参加していただきます．研究に関する技術的なアドバイスを希望する場合は別途対応とさせていただきますので，個別にご連絡ください．,"研究室紹介（前半）と興味のある研究分野・学びたい技術の聞き取り（後半）のための面談を実施しています ．2 次選考以降も含めて主ゼミナールとして欅研究室を志望する可能性のある方は下記のフォームから面談の申し込みをしてください．

https://forms.gle/TJ8ogs5xrTuMbMis5

また，研究室ゼミの見学を希望される場合は欅までご連絡ください．"
城田　慎一郎,私の学部ゼミナールでは、「ベイズ統計」と「空間統計」というテーマを主に扱います。このテーマについて学んでいくうえでは、統計、数学やプログラミングの知識が重要です。そのため、私の学部ゼミナールに興味のある方は、学部1・2年次で、「線形代数I・II」「微分積分I・II」「統計」「プログラミング基礎」「回帰分析I・II」「数理統計学」「ベイズ統計学I」、「プログラミングI・II」などの授業を履修しておくとよいかと思います。,選考にあたっては、関連科目のGPAを重視する予定です。,約3-4名,選考にあたっては、関連科目のGPAを重視する予定です。主ゼミの合格者数によっては副ゼミは受け入れなしとする可能性があります。,面談は任意ですが、希望する方はメールかslackで個別にご連絡ください。
永山　晋,私のゼミでは、経営における創造性、イノベーション、ウェルビーイング、認知変容、行動変容に関わる研究活動を行います。また、大規模言語モデルを用いた行動への介入や、神経科学のモデルを応用した意思決定の研究などにも関心がある方も歓迎します。特別な予備知識は必要ではありませんが、RやPythonのプログラミングを使った科目、回帰分析、機械学習、統計学に関わる科目、経営学、経済学、心理学に関わる科目を履修しておくと役立つと思います。,選考では、GPAも参照しますが、研究テーマの興味関心のマッチング、モチベーションを重視する予定です。,8名まで,主ゼミの受け入れ人数に応じて副ゼミは受け入れられない場合があります。ただし、単位が不要でゼミのみ参加したい場合などは個別にご相談ください。,面談を希望する方はメールやslackでご連絡ください。
谷田川　達也,"私のゼミでは、画像や動画、三次元形状データなどの目に見えるデータを「計算処理」することで、新たな価値創造を目指した研究活動を行います。過去の研究では、対話的な画像・動画編集システム、画像生成AI、物理シミュレーションに基づく映像生成、視覚的特徴に基づく工業検査技術、様々なカメラデバイスを用いた先進的なセンシング技術などについて研究をしてきました。

ただし、研究内容については、強くテーマを制約することはせず、皆さんの興味に合わせて柔軟に設定します。特別な予備知識は必要ありませんが、学部1・2年生の間に数学やプログラミング等の科目を履修しておくことをお勧めします。上記のようなテーマに関心があって、新しい技術が好き、自分の興味をとことん突き詰めたい、という思いがあれば、どなたでも歓迎いたします。

研究室や具体的なテーマの例ついて詳しく知りたい方は、ウェブページもご参照ください。
https://tatsylab.github.io/join-us/",選考になった場合には、研究上の興味のマッチングとモチベーションを重視した上で、スキル面では、プログラミングと数学の能力に基づいて選考します。,約4名,"主ゼミの4名の枠とは別に副ゼミ生についても数名受け入れます。ただし、主ゼミの人数によっては副ゼミ生を受け入れられない可能性があることをご了承ください。また、他の先生と同様ですが、副ゼミの単位は不要で研究に興味がある人は個別にご連絡ください。
","選考ではマッチングを重視しますので、事前相談を希望の場合には以下のフォームからお気軽に
申し込みください。

見学・事前相談の申し込み: https://forms.gle/BxHxYFLWfYeTpZFN7"
本武　陽一,私のゼミナールでは、機械学習と解釈可能AIを活用しながら、自然現象や社会現象にみられる大自由度な複雑現象を理解し予測するモデルを構築し、得られた知見を社会課題解決へ適用することで検証するデータ駆動理学（科学）研究を実施しています。現在の研究対象は、核融合、計算化学、自動運転、人工生命、SNSマーケティング、材料科学、放射光・中性子線計測、乱流物理、宇宙・惑星物理、物性物理、原子核物理、解析力学、量子力学、バイオインフォマティクス、脳科学といった分野の複雑現象で、大学・国立研究所・企業の各分野の専門家と協力して研究を実施しています。よく使用する機械学習手法は、深層学習、ベイズモデリング、スパースモデリング、位相的データ解析、代数幾何的学習理論などです。必要に応じて新規手法の開発も実施しています。データ駆動理学は未開拓領域の多い研究分野のため、学部生の皆さんにも研究の投稿論文化を目指した実践的な研究を実施してもらいます。研究対象や分析手法は多岐に渡りますが、必要な知識は研究の中で自然と獲得されるので、特に必要な予備知識はありません。,選考では、現象の解釈や理解を目指す理学的な研究に対する興味関心の強さを重視する予定です。,約4名,選考では、現象の解釈や理解を目指す理学的な研究に対する興味関心の強さを重視する予定です。主ゼミの人数で定員を超えた場合は副ゼミの履修者を受け入れられない場合があります。,面談を希望する方はメールやSlack等で個別にご連絡ください。
ウ・ユジン,私の学部ゼミナールでは、「国内・国際政治イベントの原因と影響」というテーマを主に扱います。このテーマについて学んでいくうえでは、定量的方法論（quantitative methodology）、政治学、国際政治学への全般的な知識が重要です。そのため、私の学部ゼミナールに興味のある方は、学部1・2年次で、「回帰分析I、II」「国際政治とDS」「政治学とDS」などの授業を履修しておくとよいかと思います。,選考にあたっては、研究テーマへの関心、適切なデータや分析モデルを追求する姿勢、また、社会的・学術的貢献意欲を重視する予定です。,8名まで,主ゼミと副ゼミ合わせて8名まで受け入れます。そこで、主ゼミが８名に達した場合は、副ゼミは受け入れなしとします。副ゼミの内容は主ゼミと同じです。,面談を希望する方はメールかslackで個別にご連絡ください。
坂野　遼平,"私のゼミナールでは、分散システムを主なテーマとして扱います。キーワードとしては「IoT」「ブロックチェーン」「防災システム」「分散型SNS」などが挙げられます。PC、スマホ、IoTデバイス、防災センサなど、様々なコンピュータを連携させるために必要な技術やその社会応用について研究をしています。特別な予備知識は不要です（研究室で必要に応じて習得できるようにします）が、「アルゴリズム」「データベース」などの授業を履修しておくと、とっつきやすいと思います。研究室ウェブサイトもご参照ください
https://www.banno-lab.net/guide/",選考については、関連科目の成績も参考にしつつ、技術的関心を重視しておこなう予定です。,約4名,主ゼミの人数によっては副ゼミの履修者を受け入れられない場合があります。副ゼミの単位は不要だけれども本研究室の活動に興味があるという場合は、個別にメール等でご相談ください。,面談を希望する方は、気軽にメールやSlackでご連絡ください